,VenueId,VenueName,VenueLatitude,VenueLongitude,CategoryId,VenueAddress,City,HierarchyLevel,CategoryName,Level1,Level2,Level3,Level4,Level5,MeshBlockCode,CityCode,StateCode,State,LgaCode,LgaName,Key,LgaGroup,VenueCount,EgmCount,TotalNgr,TotalNgrPerAdult,MachinesPer1000Adult,AvgNgrPerMachine,AggregateNgrPerLgaStr,AverageNgrPerVenueStr,TotalNgrPerAdultStr,AvgNgrPerMachineStr,RankTotalNgr,RankTotalNgrPerAdult,RankEgmsPer1000Adult,RankAvgNgrPerMachine,Address,PostalCode,Latitude,Longitude,People,MedianAge,HouseholdIncome,Dwellings
162,57ff3cad38fae6181ebde264,The Music Yard,-34.795333346758184,138.72219400471818,4bf58dd8d48988d1e5931735,"22 Vicenzo St, Fairview Park SA 5126, Australia",Fairview Park,2,Music Venue,Arts & Entertainment,Music Venue,,,,40184140000,40424,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Fairview Park SA 5126, Australia",5126,-34.7999009,138.7316925,3600.0,40,"1,525","1,319"
171,518f392e498e4ddbd036053e,Louder,-34.87370856541345,138.66973620740444,4bf58dd8d48988d17e941735,"17A Darley Rd, Paradise SA 5075, Australia",Paradise,3,Indie Movie Theater,Arts & Entertainment,Movie Theater,Indie Movie Theater,,,40023650000,41090,4,South Australia,40910,Campbelltown (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Paradise SA 5075, Australia",5075,-34.872,138.676,6776.0,43,"1,192","2,582"
175,4e5878a118382ada067cebb5,Black(eby) Ops Training,-34.84584426879883,138.7001190185547,4bf58dd8d48988d1e1931735,"16 Tyner Ct, Hope Valley SA 5090, Australia",Hope Valley,2,Arcade,Arts & Entertainment,Arcade,,,,40188900000,40601,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Hope Valley SA 5090, Australia",5090,-34.843,138.702,7887.0,47,"1,081","3,120"
176,4d95c52fe07ea35d915bae02,Tunza Fun TTP,-34.83143188517163,138.68796779540406,4bf58dd8d48988d1e1931735,"970 North East Road, Modbury SA 5092, Australia",Modbury,2,Arcade,Arts & Entertainment,Arcade,,,,40188841000,40891,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Modbury SA 5092, Australia",5092,-34.833333,138.683333,5244.0,37,"1,084","2,047"
178,4ebf0e9c5c5c3d470c69dc3b,Scalex World,-34.82485156,138.69943188,4bf58dd8d48988d1e1931735,"42-48 Dewer Ave, Ridgehaven SA 5097, Australia",Ridgehaven,2,Arcade,Arts & Entertainment,Arcade,,,,40180990000,41244,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Ridgehaven SA 5097, Australia",5097,-34.822,138.704,4008.0,42,"1,112","1,660"
179,506bc5bee4b0e6a9acd058f2,TunzaFun,-34.831483606496555,138.68989318730226,4bf58dd8d48988d1e1931735,"976 North East Road, Modbury SA 5092, Australia",Modbury,2,Arcade,Arts & Entertainment,Arcade,,,,40188841000,40891,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Modbury SA 5092, Australia",5092,-34.833333,138.683333,5244.0,37,"1,084","2,047"
180,4f6ec3e4e4b08a0bbb6fd0bd,Ridgehaven,-34.82439083866475,138.69652233456415,4bf58dd8d48988d1e1931735,"8 Jennifer Ave, Ridgehaven SA 5097, Australia",Ridgehaven,2,Arcade,Arts & Entertainment,Arcade,,,,40180990000,41244,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Ridgehaven SA 5097, Australia",5097,-34.822,138.704,4008.0,42,"1,112","1,660"
186,4e4532d6628485fd4c696ebf,Pizza Bite,-34.81533,138.69939,4bf58dd8d48988d1ca941735,"414 Milne Rd, Redwood Park SA 5097, Australia",Redwood Park,2,Pizza Place,Food,Pizza Place,,,,40181350000,41229,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Redwood Park SA 5097, Australia",5097,-34.812524,138.706595,5417.0,39,"1,537","1,958"
187,4b5aae90f964a520a2d028e3,Da Mario Pizza,-34.86946,138.70312,4bf58dd8d48988d1ca941735,"1 Russell Rd, Athelstone SA 5076, Australia",Athelstone,2,Pizza Place,Food,Pizza Place,,,,40023510000,40048,4,South Australia,40910,Campbelltown (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Athelstone SA 5076, Australia",5076,-34.87,138.703,9149.0,43,"1,634","3,327"
189,4cd121e87f56a143fe6bd2a6,Domino's Pizza,-34.83212,138.68426,4bf58dd8d48988d1ca941735,"947 North East Road, Modbury SA 5092, Australia",Modbury,2,Pizza Place,Food,Pizza Place,,,,40188841000,40891,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Modbury SA 5092, Australia",5092,-34.833333,138.683333,5244.0,37,"1,084","2,047"
