,MeshBlockCode,LgaCode,LgaName
444,40004460000,40120,Adelaide Hills (DC)
445,40004470000,40120,Adelaide Hills (DC)
446,40004480000,40120,Adelaide Hills (DC)
447,40004490000,40120,Adelaide Hills (DC)
448,40004500000,40120,Adelaide Hills (DC)
449,40004510000,40120,Adelaide Hills (DC)
450,40004520000,40120,Adelaide Hills (DC)
451,40004530000,40120,Adelaide Hills (DC)
452,40004540000,40120,Adelaide Hills (DC)
453,40004550000,40120,Adelaide Hills (DC)
454,40004560000,40120,Adelaide Hills (DC)
455,40004570000,40120,Adelaide Hills (DC)
456,40004581000,40120,Adelaide Hills (DC)
457,40004582000,40120,Adelaide Hills (DC)
458,40004591000,40120,Adelaide Hills (DC)
459,40004593000,40120,Adelaide Hills (DC)
460,40004594000,40120,Adelaide Hills (DC)
461,40004601000,40120,Adelaide Hills (DC)
462,40004602000,40120,Adelaide Hills (DC)
463,40004610000,40120,Adelaide Hills (DC)
464,40004620000,40120,Adelaide Hills (DC)
465,40004630000,40120,Adelaide Hills (DC)
466,40004640000,40120,Adelaide Hills (DC)
467,40004650000,40120,Adelaide Hills (DC)
468,40004660000,40120,Adelaide Hills (DC)
469,40004670000,40120,Adelaide Hills (DC)
470,40004680000,40120,Adelaide Hills (DC)
471,40004690000,40120,Adelaide Hills (DC)
472,40004700000,40120,Adelaide Hills (DC)
473,40004710000,40120,Adelaide Hills (DC)
474,40004720000,40120,Adelaide Hills (DC)
475,40004730000,40120,Adelaide Hills (DC)
476,40004740000,40120,Adelaide Hills (DC)
477,40004750000,40120,Adelaide Hills (DC)
478,40004760000,40120,Adelaide Hills (DC)
479,40004780000,40120,Adelaide Hills (DC)
480,40004790000,40120,Adelaide Hills (DC)
481,40004800000,40120,Adelaide Hills (DC)
482,40004810000,40120,Adelaide Hills (DC)
483,40004820000,40120,Adelaide Hills (DC)
484,40004830000,40120,Adelaide Hills (DC)
485,40004840000,40120,Adelaide Hills (DC)
486,40004850000,40120,Adelaide Hills (DC)
487,40004860000,40120,Adelaide Hills (DC)
488,40004870000,40120,Adelaide Hills (DC)
489,40004880000,40120,Adelaide Hills (DC)
490,40004890000,40120,Adelaide Hills (DC)
491,40004900000,40120,Adelaide Hills (DC)
492,40004910000,40120,Adelaide Hills (DC)
493,40004920000,40120,Adelaide Hills (DC)
494,40004930000,40120,Adelaide Hills (DC)
495,40004940000,40120,Adelaide Hills (DC)
496,40004951000,40120,Adelaide Hills (DC)
497,40004952000,40120,Adelaide Hills (DC)
498,40004960000,40120,Adelaide Hills (DC)
499,40004970000,40120,Adelaide Hills (DC)
500,40004980000,40120,Adelaide Hills (DC)
501,40004990000,40120,Adelaide Hills (DC)
502,40005000000,40120,Adelaide Hills (DC)
503,40005010000,40120,Adelaide Hills (DC)
504,40005020000,40120,Adelaide Hills (DC)
505,40005030000,40120,Adelaide Hills (DC)
506,40005040000,40120,Adelaide Hills (DC)
507,40005050000,40120,Adelaide Hills (DC)
508,40005060000,40120,Adelaide Hills (DC)
509,40005070000,40120,Adelaide Hills (DC)
510,40005080000,40120,Adelaide Hills (DC)
511,40005090000,40120,Adelaide Hills (DC)
512,40005100000,40120,Adelaide Hills (DC)
513,40005110000,40120,Adelaide Hills (DC)
514,40005120000,40120,Adelaide Hills (DC)
515,40005140000,40120,Adelaide Hills (DC)
516,40005151000,40120,Adelaide Hills (DC)
517,40005152000,40120,Adelaide Hills (DC)
518,40005160000,40120,Adelaide Hills (DC)
519,40005170000,40120,Adelaide Hills (DC)
520,40005180000,40120,Adelaide Hills (DC)
521,40005190000,40120,Adelaide Hills (DC)
522,40005200000,40120,Adelaide Hills (DC)
523,40005210000,40120,Adelaide Hills (DC)
524,40005220000,40120,Adelaide Hills (DC)
525,40005230000,40120,Adelaide Hills (DC)
526,40005240000,40120,Adelaide Hills (DC)
527,40005260000,40120,Adelaide Hills (DC)
528,40005270000,40120,Adelaide Hills (DC)
529,40005280000,40120,Adelaide Hills (DC)
530,40005290000,40120,Adelaide Hills (DC)
531,40005300000,40120,Adelaide Hills (DC)
532,40005310000,40120,Adelaide Hills (DC)
533,40005320000,40120,Adelaide Hills (DC)
534,40005330000,40120,Adelaide Hills (DC)
535,40005340000,40120,Adelaide Hills (DC)
536,40005350000,40120,Adelaide Hills (DC)
537,40005360000,40120,Adelaide Hills (DC)
538,40005370000,40120,Adelaide Hills (DC)
539,40005380000,40120,Adelaide Hills (DC)
540,40005390000,40120,Adelaide Hills (DC)
541,40005400000,40120,Adelaide Hills (DC)
542,40005411000,40120,Adelaide Hills (DC)
543,40005430000,40120,Adelaide Hills (DC)
544,40005440000,40120,Adelaide Hills (DC)
545,40005451000,40120,Adelaide Hills (DC)
546,40005452000,40120,Adelaide Hills (DC)
547,40005460000,40120,Adelaide Hills (DC)
548,40005470000,40120,Adelaide Hills (DC)
549,40005480000,40120,Adelaide Hills (DC)
550,40005490000,40120,Adelaide Hills (DC)
551,40005500000,40120,Adelaide Hills (DC)
552,40005511000,40120,Adelaide Hills (DC)
553,40005512000,40120,Adelaide Hills (DC)
554,40005521000,40120,Adelaide Hills (DC)
555,40005522000,40120,Adelaide Hills (DC)
556,40005531000,40120,Adelaide Hills (DC)
