,PremisesName,Address,City,PostalCode,Latitude,Longitude,MachineCount,MeshBlockCode,CityCode,StateCode,State,LgaCode,LgaName,PostalCodePopulation,PostalCodeAvgTaxableIncome,PostalCodeRankTaxableIncome
54,Buckingham Arms Hotel,"1 Walkerville Terrace, Gilberton SA 5081, Australia",Gilberton,5081,-34.90129599999999,138.609476,40,40203560000,40487,4,South Australia,48260,Walkerville (M),6077,92916.0,3
55,Bushmans Arms Hotel,"20 Robertson St, Naracoorte SA 5271, Australia",Naracoorte,5271,-36.9570835,140.7423454,40,40101641000,41002,4,South Australia,45090,Naracoorte and Lucindale (DC),4907,45760.0,226
56,Bute Hotel,"21 Railway Terrace, Bute SA 5560, Australia",Bute,5560,-33.8651345,138.0073729,6,40016010000,40197,4,South Australia,40430,Barunga West (DC),243,59908.0,51
57,Cadell Club,"18 McGuire Terrace, Cadell SA 5321, Australia",Cadell,5321,-34.0365315,139.7641837,8,40082441000,40199,4,South Australia,44210,Mid Murray (DC),160,40770.0,301
58,Cadney Park Roadhouse,"Cadney Park, Marla SA 5724, Australia",Marla,5724,-27.9066822,134.0543337,6,40243770000,40825,4,South Australia,49399,Unincorporated SA,119,45377.0,231
59,Caledonian Hotel,"219 O'Connell St, North Adelaide SA 5006, Australia",North Adelaide,5006,-34.9022222,138.5941667,20,40000080000,41029,4,South Australia,40070,Adelaide (C),4183,90092.0,5
60,Callington Hotel,"Montefiore St, Callington SA 5254, Australia",Callington,5254,-35.1152851,139.039964,6,40095260000,40203,4,South Australia,44550,Mount Barker (DC),1260,42358.0,288
61,Campania Sports And Social Club,"5 Famechon Cres, Modbury North SA 5092, Australia",Modbury North,5092,-34.8192553,138.6821715,20,40180970000,40893,4,South Australia,47700,Tea Tree Gully (C),9862,47216.0,195
62,Cape Jervis Tavern,"Main S Rd, Cape Jervis SA 5204, Australia",Cape Jervis,5204,-35.6040437,138.1080828,10,40218240000,40220,4,South Australia,48750,Yankalilla (DC),1454,39762.0,309
63,Carlisle Tavern,"39 Carlisle St, Ethelton SA 5015, Australia",Ethelton,5015,-34.8493156,138.4898778,40,40144850000,40411,4,South Australia,45890,Port Adelaide Enfield (C),3526,52167.0,115
64,Castle Tavern,"Castle Plaza, South Rd, Edwardstown SA 5039, Australia",Edwardstown,5039,-34.9824572,138.5729069,40,40076351000,40391,4,South Australia,44060,Marion (C),5093,51752.0,120
65,Cathedral Hotel,"45 Kermode St, North Adelaide SA 5006, Australia",North Adelaide,5006,-34.9122222,138.5988889,12,40000080000,41029,4,South Australia,40070,Adelaide (C),4183,90092.0,5
66,Cavan Hotel,"Port Wakefield Rd, Dry Creek SA 5094, Australia",Dry Creek,5094,-34.8346812,138.5984812,40,40142201000,40369,4,South Australia,45890,Port Adelaide Enfield (C),484,49355.0,158
67,Ceduna Foreshore Hotel Motel,"32 O'Loughlin Terrace, Ceduna SA 5690, Australia",Ceduna,5690,-32.1268913,133.672583,40,40029740000,40236,4,South Australia,41010,Ceduna (DC),2141,51155.0,133
68,Central Augusta Football and Community Sporting Club,"3 Hannagan St, Port Augusta SA 5700, Australia",Port Augusta,5700,-32.5108135,137.7854784,20,40152541000,41175,4,South Australia,46090,Port Augusta (C),5427,52060.0,117
