,HierarchyLevel,CategoryName,CategoryId,Level1,Level2,Level3,Level4,Level5
93,3,College Track,4bf58dd8d48988d1b6941735,College & University,College Stadium,College Track,,
94,2,College Theater,4bf58dd8d48988d1ac941735,College & University,College Theater,,,
95,2,Community College,4bf58dd8d48988d1a2941735,College & University,Community College,,,
96,2,Fraternity House,4bf58dd8d48988d1b0941735,College & University,Fraternity House,,,
97,2,General College & University,4bf58dd8d48988d1a8941735,College & University,General College & University,,,
98,2,Law School,4bf58dd8d48988d1a6941735,College & University,Law School,,,
99,2,Medical School,4bf58dd8d48988d1b3941735,College & University,Medical School,,,
100,2,Sorority House,4bf58dd8d48988d141941735,College & University,Sorority House,,,
101,2,Student Center,4bf58dd8d48988d1ab941735,College & University,Student Center,,,
102,2,Trade School,4bf58dd8d48988d1ad941735,College & University,Trade School,,,
103,2,University,4bf58dd8d48988d1ae941735,College & University,University,,,
104,1,Event,4d4b7105d754a06373d81259,Event,,,,
105,2,Christmas Market,52f2ab2ebcbc57f1066b8b3b,Event,Christmas Market,,,
106,2,Conference,5267e4d9e4b0ec79466e48c6,Event,Conference,,,
107,2,Convention,5267e4d9e4b0ec79466e48c9,Event,Convention,,,
108,2,Festival,5267e4d9e4b0ec79466e48c7,Event,Festival,,,
109,2,Line / Queue,58daa1558bbb0b01f18ec1fa,Event,Line / Queue,,,
110,2,Music Festival,5267e4d9e4b0ec79466e48d1,Event,Music Festival,,,
111,2,Other Event,5267e4d9e4b0ec79466e48c8,Event,Other Event,,,
112,2,Parade,52741d85e4b0d5d1e3c6a6d9,Event,Parade,,,
113,2,Sporting Event,5bae9231bedf3950379f89c5,Event,Sporting Event,,,
114,2,Stoop Sale,52f2ab2ebcbc57f1066b8b54,Event,Stoop Sale,,,
115,2,Street Fair,5267e4d8e4b0ec79466e48c5,Event,Street Fair,,,
116,2,Trade Fair,5bae9231bedf3950379f89c3,Event,Trade Fair,,,
117,1,Food,4d4b7105d754a06374d81259,Food,,,,
118,2,Afghan Restaurant,503288ae91d4c4b30a586d67,Food,Afghan Restaurant,,,
119,2,African Restaurant,4bf58dd8d48988d1c8941735,Food,African Restaurant,,,
120,3,Ethiopian Restaurant,4bf58dd8d48988d10a941735,Food,African Restaurant,Ethiopian Restaurant,,
121,2,American Restaurant,4bf58dd8d48988d14e941735,Food,American Restaurant,,,
122,3,New American Restaurant,4bf58dd8d48988d157941735,Food,American Restaurant,New American Restaurant,,
