,Key,LgaName,LgaGroup,VenueCount,EgmCount,TotalNgr,TotalNgrPerAdult,MachinesPer1000Adult,AvgNgrPerMachine,AverageNgrPerVenue,AggregateNgrPerLgaStr,AverageNgrPerVenueStr,TotalNgrPerAdultStr,AvgNgrPerMachineStr,RankTotalNgr,RankTotalNgrPerAdult,RankEgmsPer1000Adult,RankAvgNgrPerMachine,MeshBlockCode,CityCode,City,StateCode,State,LgaCode
34,21,Mount Barker (DC),Mount Barker (DC),10,235,9389.0,345.08,8.54,39953.21,938900.46,"$9,389,005","$938,900",$345,"$39,953",20,30,29,22,40092421000,41453,Totness,4,South Australia,44550
35,22,Mount Gambier (C),"Mount Gambier (C), Grant (DC)",13,359,16879.56,616.77,13.1,47347.98,1298427.43,"$16,879,557","$1,298,427",$617,"$47,348",12,15,17,17,40053734000,40497,Glenburnie,4,South Australia,44620
36,22,Grant (DC),"Mount Gambier (C), Grant (DC)",13,359,16879.56,616.77,13.1,47347.98,1298427.43,"$16,879,557","$1,298,427",$617,"$47,348",12,15,17,17,40053700000,40013,Allendale East,4,South Australia,42250
37,23,Mount Remarkable (DC),"Mount Remarkable (DC), Orroroo/Carrieton (DC), Peterborough (DC)",6,52,998.27,223.55,11.69,21239.85,166378.84,"$998,273","$166,379",$224,"$21,240",41,37,22,38,40098420000,41599,Wilmington,4,South Australia,44830
38,23,Orroroo/Carrieton (DC),"Mount Remarkable (DC), Orroroo/Carrieton (DC), Peterborough (DC)",6,52,998.27,223.55,11.69,21239.85,166378.84,"$998,273","$166,379",$224,"$21,240",41,37,22,38,40128590000,41069,Orroroo,4,South Australia,45400
39,23,Peterborough (DC),"Mount Remarkable (DC), Orroroo/Carrieton (DC), Peterborough (DC)",6,52,998.27,223.55,11.69,21239.85,166378.84,"$998,273","$166,379",$224,"$21,240",41,37,22,38,40128950000,41671,Yongala,4,South Australia,45540
40,24,Murray Bridge (RC),"Murray Bridge (RC), Karoonda East Murray (DC), Southern Mallee (DC)",10,186,10012.68,497.21,9.18,53831.6,1001267.79,"$10,012,678","$1,001,268",$497,"$53,832",19,19,28,15,40099410000,40979,Murray Bridge,4,South Australia,45040
41,24,Karoonda East Murray (DC),"Murray Bridge (RC), Karoonda East Murray (DC), Southern Mallee (DC)",10,186,10012.68,497.21,9.18,53831.6,1001267.79,"$10,012,678","$1,001,268",$497,"$53,832",19,19,28,15,40062310000,40466,Galga,4,South Australia,43080
42,24,Southern Mallee (DC),"Murray Bridge (RC), Karoonda East Murray (DC), Southern Mallee (DC)",10,186,10012.68,497.21,9.18,53831.6,1001267.79,"$10,012,678","$1,001,268",$497,"$53,832",19,19,28,15,40178870000,40740,Lameroo,4,South Australia,47290
43,25,Naracoorte and Lucindale (DC),"Naracoorte and Lucindale (DC), Robe (DC), Kingston (DC)",7,136,4464.48,459.79,14.01,31220.11,637782.28,"$4,464,476","$637,782",$460,"$31,220",29,21,13,27,40101620000,40292,Conmurra,4,South Australia,45090
44,25,Robe (DC),"Naracoorte and Lucindale (DC), Robe (DC), Kingston (DC)",7,136,4464.48,459.79,14.01,31220.11,637782.28,"$4,464,476","$637,782",$460,"$31,220",29,21,13,27,40163400000,41251,Robe,4,South Australia,46860
45,25,Kingston (DC),"Naracoorte and Lucindale (DC), Robe (DC), Kingston (DC)",7,136,4464.48,459.79,14.01,31220.11,637782.28,"$4,464,476","$637,782",$460,"$31,220",29,21,13,27,40062920000,41515,Wangolina,4,South Australia,43360
46,26,Norwood Payneham St Peters (C),Norwood Payneham St Peters (C),17,567,29739.98,978.91,18.62,53974.55,1749410.31,"$29,739,975","$1,749,410",$979,"$53,975",8,2,7,14,40103760000,40636,Joslin,4,South Australia,45290
47,27,Onkaparinga (C),Onkaparinga (C),23,747,59232.01,444.47,5.59,79293.19,2575305.0,"$59,232,015","$2,575,305",$444,"$79,293",3,22,39,6,40109000000,40539,Hackham West,4,South Australia,45340
48,28,Playford (C),Playford (C),10,355,33737.35,490.32,5.12,95981.07,3373734.76,"$33,737,348","$3,373,735",$490,"$95,981",6,20,40,2,40129450000,40322,Craigmore,4,South Australia,45680
49,29,Port Adelaide Enfield (C),Port Adelaide Enfield (C),36,1129,72500.01,715.1,11.09,62961.37,2013889.28,"$72,500,014","$2,013,889",$715,"$62,961",1,7,26,11,40138030000,41484,Valley View,4,South Australia,45890
50,30,Port Augusta (C),Port Augusta (C),11,255,10840.38,992.18,23.45,42511.3,985489.18,"$10,840,381","$985,489",$992,"$42,511",18,1,2,20,40152541000,41175,Port Augusta,4,South Australia,46090
51,31,Port Lincoln (C),Port Lincoln (C),7,212,8346.54,742.8,18.83,39370.49,1192363.37,"$8,346,544","$1,192,363",$743,"$39,370",24,5,6,23,40154790000,41187,Port Lincoln,4,South Australia,46300
52,32,Port Pirie City and Dists (M),Port Pirie City and Dists (M),8,203,9231.24,676.19,14.9,45474.07,1153904.55,"$9,231,236","$1,153,905",$676,"$45,474",21,9,10,19,40156882000,41195,Port Pirie,4,South Australia,46450
53,33,Prospect (C),"Prospect (C), Walkerville (M)",6,201,14630.46,621.32,8.51,72788.34,2438409.28,"$14,630,456","$2,438,409",$621,"$72,788",13,14,31,8,40159910000,41313,Sefton Park,4,South Australia,46510
54,33,Walkerville (M),"Prospect (C), Walkerville (M)",6,201,14630.46,621.32,8.51,72788.34,2438409.28,"$14,630,456","$2,438,409",$621,"$72,788",13,14,31,8,40203540000,41483,Vale Park,4,South Australia,48260
55,34,Renmark Paringa (DC),Renmark Paringa (DC),3,102,5007.68,641.6,13.04,45524.34,1669225.88,"$5,007,678","$1,669,226",$642,"$45,524",28,12,18,18,40162330000,41139,Pike River,4,South Australia,46670
56,35,Roxby Downs (M),"Roxby Downs (M), Coober Pedy (DC), Flinders Ranges (DC)",6,130,3766.69,655.95,22.64,28974.52,627781.33,"$3,766,688","$627,781",$656,"$28,975",32,11,3,30,40164020000,41268,Roxby Downs,4,South Australia,46970
57,35,Coober Pedy (DC),"Roxby Downs (M), Coober Pedy (DC), Flinders Ranges (DC)",6,130,3766.69,655.95,22.64,28974.52,627781.33,"$3,766,688","$627,781",$656,"$28,975",32,11,3,30,40045740000,40293,Coober Pedy,4,South Australia,41330
58,35,Flinders Ranges (DC),"Roxby Downs (M), Coober Pedy (DC), Flinders Ranges (DC)",6,130,3766.69,655.95,22.64,28974.52,627781.33,"$3,766,688","$627,781",$656,"$28,975",32,11,3,30,40049500000,41220,Quorn,4,South Australia,41830
59,36,Salisbury (C),Salisbury (C),21,697,66515.42,606.44,6.33,95912.65,3167400.98,"$66,515,421","$3,167,401",$606,"$95,913",2,18,37,3,40164450000,41092,Parafield Gardens,4,South Australia,47140
60,37,The Coorong (DC),"The Coorong (DC), Tatiara (DC)",8,122,2815.46,296.6,12.87,23077.58,351933.04,"$2,815,464","$351,933",$297,"$23,078",36,34,19,37,40192880000,40356,Deepwater,4,South Australia,47800
61,37,Tatiara (DC),"The Coorong (DC), Tatiara (DC)",8,122,2815.46,296.6,12.87,23077.58,351933.04,"$2,815,464","$351,933",$297,"$23,078",36,34,19,37,40179910000,40142,Bordertown,4,South Australia,47630
62,38,Unincorporated SA,"Unincorporated SA,Anangu Pitjantjatjara (AC),Maralinga Tjarutja (AC)",6,60,430.39,0.0,0.0,7173.16,71731.59,"$430,390","$71,732",$0,"$7,173",44,0,0,44,40193110000,40728,Lake Albert,4,South Australia,49399
63,38,Anangu Pitjantjatjara (AC),"Unincorporated SA,Anangu Pitjantjatjara (AC),Maralinga Tjarutja (AC)",6,60,430.39,0.0,0.0,7173.16,71731.59,"$430,390","$71,732",$0,"$7,173",44,0,0,44,40012460000,41208,Pukatja,4,South Australia,40250
64,38,Maralinga Tjarutja (AC),"Unincorporated SA,Anangu Pitjantjatjara (AC),Maralinga Tjarutja (AC)",6,60,430.39,0.0,0.0,7173.16,71731.59,"$430,390","$71,732",$0,"$7,173",44,0,0,44,40071801000,41272,SA Remainder,4,South Australia,44000
65,39,Unley (C),Unley (C),8,255,13237.82,417.56,8.03,51913.03,1654727.97,"$13,237,824","$1,654,728",$418,"$51,913",17,25,33,16,40194830000,41102,Parkside,4,South Australia,47980
66,40,Wakefield (DC),Wakefield (DC),6,44,806.98,155.42,8.52,16812.11,134496.84,"$806,981","$134,497",$155,"$16,812",42,40,30,41,40202260000,40291,Condowie,4,South Australia,48130
67,41,Wattle Range (DC),Wattle Range (DC),6,106,2621.63,278.39,11.25,23941.85,436938.84,"$2,621,633","$436,939",$278,"$23,942",37,36,24,35,40204700000,41124,Penola,4,South Australia,48340
68,42,West Torrens (C),West Torrens (C),10,354,30604.19,616.17,7.11,86943.73,3060419.22,"$30,604,192","$3,060,419",$616,"$86,944",7,16,34,4,40206881000,40045,Ashford,4,South Australia,48410
69,43,Whyalla (C),Whyalla (C),8,231,14201.54,857.58,14.07,61478.54,1775192.92,"$14,201,543","$1,775,193",$858,"$61,479",14,4,12,12,40214900000,41574,Whyalla Norrie,4,South Australia,48540
70,44,Yorke Peninsula (DC),Yorke Peninsula (DC),15,172,4045.69,427.95,18.18,23938.97,269712.44,"$4,045,687","$269,712",$428,"$23,939",30,23,8,36,40214967800,41199,Port Victoria,4,South Australia,48830
