,MeshBlockCode,CityCode,City,StateCode,State,LgaCode,LgaName
128,40215296400,40129,Bockelberg,4,South Australia,47490,Streaky Bay (DC)
129,40044400000,40130,Boconnoc Park,4,South Australia,41140,Clare and Gilbert Valleys (DC)
130,40178570000,40131,Bolivar,4,South Australia,47140,Salisbury (C)
131,40215198500,40132,Bollards Lagoon,4,South Australia,49399,Unincorporated SA
132,40083530000,40133,Bolto,4,South Australia,44210,Mid Murray (DC)
133,40215315400,40134,Bon Bon,4,South Australia,49399,Unincorporated SA
134,40052731000,40135,Booborowie,4,South Australia,42110,Goyder (DC)
135,40067820000,40136,Bookpurnong,4,South Australia,43790,Loxton Waikerie (DC)
136,40101770000,40137,Bool Lagoon,4,South Australia,45090,Naracoorte and Lucindale (DC)
137,40098500000,40138,Booleroo Centre,4,South Australia,44830,Mount Remarkable (DC)
138,40068740000,40139,Boolgun,4,South Australia,43790,Loxton Waikerie (DC)
139,40045410000,40140,Boonerdo,4,South Australia,41190,Cleve (DC)
140,40046530000,40141,Boors Plain,4,South Australia,41560,Copper Coast (DC)
141,40179910000,40142,Bordertown,4,South Australia,47630,Tatiara (DC)
142,40180950000,40143,Bordertown South,4,South Australia,47630,Tatiara (DC)
143,40062430000,40144,Borrika,4,South Australia,43080,Karoonda East Murray (DC)
144,40066560000,40145,Boston,4,South Australia,43710,Lower Eyre Peninsula (DC)
145,40041050000,40146,Bowden,4,South Australia,41060,Charles Sturt (C)
146,40052760000,40147,Bower,4,South Australia,42110,Goyder (DC)
147,40062390000,40148,Bowhill,4,South Australia,43080,Karoonda East Murray (DC)
148,40203030000,40149,Bowillia,4,South Australia,48130,Wakefield (DC)
149,40202640000,40150,Bowmans,4,South Australia,48130,Wakefield (DC)
150,40006591000,40151,Bradbury,4,South Australia,40120,Adelaide Hills (DC)
151,40052790000,40152,Brady Creek,4,South Australia,42110,Goyder (DC)
152,40170750000,40153,Brahma Lodge,4,South Australia,47140,Salisbury (C)
153,40049330000,40154,Bramfield,4,South Australia,41750,Elliston (DC)
154,40163470000,40155,Bray,4,South Australia,46860,Robe (DC)
155,40082860000,40156,Brenda Park,4,South Australia,44210,Mid Murray (DC)
156,40221930000,40157,Brentwood,4,South Australia,48830,Yorke Peninsula (DC)
157,40003830000,40158,Bridgewater,4,South Australia,40120,Adelaide Hills (DC)
158,40053190000,40159,Bright,4,South Australia,42110,Goyder (DC)
159,40057990000,40160,Brighton,4,South Australia,42600,Holdfast Bay (C)
160,40180820000,40161,Brimbago,4,South Australia,47630,Tatiara (DC)
161,40101580000,40162,Brinkley,4,South Australia,45040,Murray Bridge (RC)
162,40202491000,40163,Brinkworth,4,South Australia,48130,Wakefield (DC)
163,40141290000,40164,Broadview,4,South Australia,45890,Port Adelaide Enfield (C)
164,40040810000,40165,Brompton,4,South Australia,41060,Charles Sturt (C)
165,40194260000,40166,Brooker,4,South Australia,47910,Tumby Bay (DC)
166,40210990000,40167,Brooklyn Park,4,South Australia,48410,West Torrens (C)
167,40103210000,40168,Broughton River Valley,4,South Australia,45120,Northern Areas (DC)
168,40061090000,40169,Brown Beach,4,South Australia,42750,Kangaroo Island (DC)
169,40085470000,40170,Brown Hill Creek,4,South Australia,44340,Mitcham (C)
170,40052920000,40171,Brownlow,4,South Australia,42110,Goyder (DC)
171,40061110000,40172,Brownlow Ki,4,South Australia,42750,Kangaroo Island (DC)
172,40049650000,40173,Bruce,4,South Australia,41830,Flinders Ranges (DC)
173,40094630000,40174,Brukunga,4,South Australia,44550,Mount Barker (DC)
174,40052780000,40175,Buchanan,4,South Australia,42110,Goyder (DC)
175,40215077100,40176,Buchfelde,4,South Australia,43650,Light (RegC)
176,40180780000,40177,Buckingham,4,South Australia,47630,Tatiara (DC)
177,40135600000,40178,Buckland Park,4,South Australia,45680,Playford (C)
178,40215011000,40179,Buckleboo,4,South Australia,43220,Kimba (DC)
179,40068112000,40180,Bugle Hut,4,South Australia,43790,Loxton Waikerie (DC)
180,40094680000,40181,Bugle Ranges,4,South Australia,44550,Mount Barker (DC)
181,40011370000,40182,Bull Creek,4,South Australia,40220,Alexandrina (DC)
182,40202370000,40183,Bumbunga,4,South Australia,48130,Wakefield (DC)
183,40193810000,40184,Bunbury,4,South Australia,47800,The Coorong (DC)
184,40102810000,40185,Bundaleer Gardens,4,South Australia,45120,Northern Areas (DC)
185,40102960000,40186,Bundaleer North,4,South Australia,45120,Northern Areas (DC)
186,40052940000,40187,Bundey,4,South Australia,42110,Goyder (DC)
187,40159570000,40188,Bungama,4,South Australia,46450,Port Pirie City and Dists (M)
188,40044463000,40189,Bungaree,4,South Australia,41140,Clare and Gilbert Valleys (DC)
189,40083210000,40190,Burdett,4,South Australia,44210,Mid Murray (DC)
190,40202330000,40191,Burnsfield,4,South Australia,48130,Wakefield (DC)
191,40017980000,40192,Burnside,4,South Australia,40700,Burnside (C)
192,40052691000,40193,Burra,4,South Australia,42110,Goyder (DC)
193,40052830000,40194,Burra Eastern Districts,4,South Australia,42110,Goyder (DC)
194,40053870000,40195,Burrungule,4,South Australia,42250,Grant (DC)
195,40177481000,40196,Burton,4,South Australia,47140,Salisbury (C)
196,40016010000,40197,Bute,4,South Australia,40430,Barunga West (DC)
197,40194430000,40198,Butler,4,South Australia,47910,Tumby Bay (DC)
198,40082441000,40199,Cadell,4,South Australia,44210,Mid Murray (DC)
199,40102440000,40200,Cadgee,4,South Australia,45090,Naracoorte and Lucindale (DC)
200,40179300000,40201,Calca,4,South Australia,47490,Streaky Bay (DC)
201,40068462000,40202,Caliph,4,South Australia,43790,Loxton Waikerie (DC)
202,40095260000,40203,Callington,4,South Australia,44550,Mount Barker (DC)
203,40069250000,40204,Calomba,4,South Australia,40150,Adelaide Plains (DC)
204,40083070000,40205,Caloote,4,South Australia,44210,Mid Murray (DC)
205,40102950000,40206,Caltowie,4,South Australia,45120,Northern Areas (DC)
206,40103250000,40207,Caltowie North,4,South Australia,45120,Northern Areas (DC)
207,40103070000,40208,Caltowie West,4,South Australia,45120,Northern Areas (DC)
208,40083102000,40209,Cambrai,4,South Australia,44210,Mid Murray (DC)
209,40211010000,40210,Camden Park,4,South Australia,48410,West Torrens (C)
